,label,auc,samples
1AVB,1AVB,0.9474896854339968,558
2AVB,2AVB,0.7752520868113523,10
3AVB,3AVB,0.8753200204813107,12
ALMI,ALMI,0.9646787832092419,203
AMI,AMI,0.8684852368517249,248
ANEUR,ANEUR,0.9220963901463932,73
ASMI,ASMI,0.9713776933659397,1655
CLBBB,CLBBB,0.9970781656399725,375
CRBBB,CRBBB,0.9969705585986458,379
DIG,DIG,0.9289186980581526,127
EL,EL,0.8426612550228915,68
ILBBB,ILBBB,0.9136385397519949,54
ILMI,ILMI,0.9575716609942495,336
IMI,IMI,0.9377892959484363,1880
INJAL,INJAL,0.9377733222022921,104
INJAS,INJAS,0.9428974272553646,150
INJIL,INJIL,0.981415692821369,10
INJIN,INJIN,0.8486219639796078,12
INJLA,INJLA,0.8517943409247757,12
IPLMI,IPLMI,0.8731334686080823,36
IPMI,IPMI,0.9214444709205349,23
IRBBB,IRBBB,0.9688060751546853,782
ISCAL,ISCAL,0.9404772337534164,462
ISCAN,ISCAN,0.7864397054191995,31
ISCAS,ISCAS,0.9392898690486554,119
ISCIL,ISCIL,0.9350417736244507,126
ISCIN,ISCIN,0.855681369402629,154
ISCLA,ISCLA,0.8849641110826117,99
ISC_,ISC_,0.9678697069658027,892
IVCD,IVCD,0.7885190013425352,552
LAFB,LAFB,0.9800352026915284,1138
LAO/LAE,LAO/LAE,0.8071829531267732,300
LMI,LMI,0.8548942094711716,141
LNGQT,LNGQT,0.8129106144077046,83
LPFB,LPFB,0.9736753701211305,125
LVH,LVH,0.9488927995597918,1496
NDT,NDT,0.9072723515596499,1280
NORM,NORM,0.9558194509943247,6656
NST_,NST_,0.8636072102182344,539
PMI,PMI,0.8355595627685388,12
RAO/RAE,RAO/RAE,0.9025246695504486,69
RVH,RVH,0.9757791379594427,88
SEHYP,SEHYP,0.8780501775690228,21
WPW,WPW,0.9034525324631829,56
