,label,auc,samples
1AVB,1AVB,0.9751080172827652,80
2AVB,2AVB,0.9172062904717854,1
3AVB,3AVB,0.978250809810273,2
ALMI,ALMI,0.975697249781857,29
AMI,AMI,0.9246911922663803,35
ANEUR,ANEUR,0.913144449605202,10
ASMI,ASMI,0.9768411423746405,236
CLBBB,CLBBB,0.9991219289464904,54
CRBBB,CRBBB,0.9972252954709095,54
DIG,DIG,0.9230769230769231,18
EL,EL,0.9044671412359435,9
ILBBB,ILBBB,0.917169373549884,8
ILMI,ILMI,0.9539499605988968,48
IMI,IMI,0.9372386090654905,268
INJAL,INJAL,0.9905603935385229,14
INJAS,INJAS,0.9892148953335315,22
INJIL,INJIL,0.9881999074502545,2
INJIN,INJIN,0.9965293845441925,2
INJLA,INJLA,0.8762147154095327,2
IPLMI,IPLMI,0.8498609823911029,5
IPMI,IPMI,0.8913580246913579,3
IRBBB,IRBBB,0.9768275057463259,112
ISCAL,ISCAL,0.948981951127874,66
ISCAN,ISCAN,0.868805002315887,4
ISCAS,ISCAS,0.9496738117427773,17
ISCIL,ISCIL,0.9274281274281274,18
ISCIN,ISCIN,0.9230605919069254,22
ISCLA,ISCLA,0.9320946619690221,14
ISC_,ISC_,0.960357800982801,128
IVCD,IVCD,0.7440717704511771,79
LAFB,LAFB,0.9865245398773006,163
LAO/LAE,LAO/LAE,0.8003749354527289,42
LMI,LMI,0.8966168922071862,20
LNGQT,LNGQT,0.8865326123690436,11
LPFB,LPFB,0.9288008288008289,18
LVH,LVH,0.9479651678550707,214
NDT,NDT,0.9346994535519125,183
NORM,NORM,0.9480942798113227,964
NST_,NST_,0.8671477132646835,77
PMI,PMI,0.9733919481721425,2
RAO/RAE,RAO/RAE,0.901532745006967,10
RVH,RVH,0.9678444134511079,12
SEHYP,SEHYP,0.9958333333333333,3
WPW,WPW,0.8805104408352667,8
