,label,auc,samples
1AVB,1AVB,0.5,79
2AVB,2AVB,0.5,1
3AVB,3AVB,0.5,2
ALMI,ALMI,0.5,29
AMI,AMI,0.5,35
ANEUR,ANEUR,0.5,11
ASMI,ASMI,0.5,237
CLBBB,CLBBB,0.5,53
CRBBB,CRBBB,0.5,54
DIG,DIG,0.5,18
EL,EL,0.5,10
ILBBB,ILBBB,0.5,8
ILMI,ILMI,0.5,48
IMI,IMI,0.5,269
INJAL,INJAL,0.5,15
INJAS,INJAS,0.5,22
INJIL,INJIL,0.5,1
INJIN,INJIN,0.5,2
INJLA,INJLA,0.5,1
IPLMI,IPLMI,0.5,6
IPMI,IPMI,0.5,4
IRBBB,IRBBB,0.5,112
ISCAL,ISCAL,0.5,66
ISCAN,ISCAN,0.5,5
ISCAS,ISCAS,0.5,17
ISCIL,ISCIL,0.5,18
ISCIN,ISCIN,0.5,22
ISCLA,ISCLA,0.5,14
ISC_,ISC_,0.5,128
IVCD,IVCD,0.5,79
LAFB,LAFB,0.5,163
LAO/LAE,LAO/LAE,0.5,43
LMI,LMI,0.5,21
LNGQT,LNGQT,0.5,12
LPFB,LPFB,0.5,18
LVH,LVH,0.5,214
NDT,NDT,0.5,183
NORM,NORM,0.5,941
NST_,NST_,0.5,77
PMI,PMI,0.5,2
RAO/RAE,RAO/RAE,0.5,10
RVH,RVH,0.5,13
SEHYP,SEHYP,0.5,3
WPW,WPW,0.5,8
