label,auc_0,auc_1
1AVB,0.9625157529930687,0.9609370636907414
2AVB,0.8048005745221523,0.9080991735537189
CLBBB,0.9785296589604271,0.9801080630516649
CRBBB,0.9460059171597633,0.9759682224428997
ILBBB,0.8975061916852287,0.88743502280515
IRBBB,0.9557765854712923,0.9377717541818986
ISCAN,0.9368553662992869,0.9323081097079716
ISCIN,0.9085240529268577,0.9141041147871458
ISCLA,0.8950199453331018,0.9074349639716157
IVCD,0.8794790892099922,0.8834483107595256
LAFB,0.9572984008166043,0.9545824847250509
LAO/LAE,0.9098184138462765,0.9086929430325206
LNGQT,0.8145167156763021,0.8215259357500737
LPFB,0.8563970831952271,0.8132267996641136
LVH,0.9508210397145332,0.9528288343887518
NDT,0.7855189921865139,0.7825766470575114
RVH,0.9036044175142915,0.9280724791956426
SEHYP,0.8497791142294985,0.8432712905222068
