label,auc_0,auc_1,auc_2
1AVB,0.9726793562671425,0.9414366054337547,0.9701148483482869
2AVB,0.8685236768802228,0.8498609401358682,0.8331491712707182
CLBBB,0.987003326479782,0.9737542019134866,0.9899116347569956
CRBBB,0.96016713091922,0.9608736232966213,0.9789706696181516
ILBBB,0.9430544132288645,0.8892991246907533,0.8767157319421154
IRBBB,0.9503493479820364,0.9563350343563658,0.935473182256926
ISCAN,0.9423183467686085,0.9415932182641694,0.9190335406259558
ISCIN,0.9181588062883027,0.9196822594880847,0.9197303921568628
ISCLA,0.9101785412287696,0.9086435986893033,0.8906554890791626
IVCD,0.8788200420730541,0.8816537467700258,0.8986739986022731
LAFB,0.9608665269042628,0.9476212206309089,0.9573611636608232
LAO/LAE,0.9176990622717177,0.9239368637892684,0.9292308829508076
LNGQT,0.8396507349765947,0.8267709641810361,0.827123862025462
LPFB,0.8185928403319708,0.9699917898193761,0.901841620626151
LVH,0.9578953906849975,0.9560470080135807,0.9575834873759932
NDT,0.7948673269136832,0.7863423251275269,0.7932357872793602
RVH,0.9653694645253452,0.8777802165642377,0.9550494198538891
SEHYP,0.8402009513120624,0.8706575549626924,0.8895874784454172
