label,auc_1,auc_2,auc_3,auc_4,auc_5
1AVB,0.9581217654525926,0.9527144191009737,0.9755961764632285,0.9585357390700904,0.9611916704666362
2AVB,0.7813014827018122,0.9381967213114755,0.8604886267902274,0.7291318864774624,0.9347506132461161
CLBBB,0.9697839635154532,0.9742596894936756,0.9897754002579862,0.9912554535880848,0.973718090193482
CRBBB,0.9867986798679869,0.9182389937106918,0.964111204717776,0.9669732441471571,0.9653311529026983
ILBBB,0.9012097761669197,0.9382767191383595,0.8891113892365458,0.9104988830975428,0.9066401126924759
IRBBB,0.9541609412572999,0.9518259518259518,0.950895089508951,0.9490962543554008,0.9538678463409647
ISCAN,0.944210224095985,0.938790785775388,0.9392920020120725,0.9250810271752681,0.9609184544124817
ISCIN,0.9254073344579111,0.9309642682329907,0.9237547892720307,0.9142985611510791,0.9159539152509276
ISCLA,0.9187173830030972,0.9332429558745349,0.8901240667545016,0.8988533611831104,0.8886821458863443
IVCD,0.899848726609611,0.8755355965721819,0.8609056811680194,0.8740963855421687,0.8884890572390572
LAFB,0.9494030832863319,0.9602607232968882,0.9686658977316418,0.9336287402325137,0.9811008575689785
LAO/LAE,0.9447362046945875,0.9348841278694621,0.9273423209809634,0.9249575115166151,0.9373541407664289
LNGQT,0.8388718812184295,0.8627081012677412,0.827861561953938,0.8530707901211497,0.840689132904203
LPFB,0.9118616144975288,0.9669127700300792,0.9449031171019376,0.9069340016708437,0.8295993458708095
LVH,0.9583040583492254,0.9587234958562049,0.955487008118587,0.9575551927067387,0.9609805772192141
NDT,0.7873603881336231,0.8237137780891847,0.7912320385347675,0.7759472711196849,0.78462441314554
RVH,0.9592986236959398,0.8789008561170947,0.9724170918367347,0.9149305555555556,0.9162578326128138
SEHYP,0.9005102040816326,0.9030853994490358,0.8536866359447005,0.8751202501202501,0.8509649329253942
