label,auc_1,auc_2,auc_3,auc_4,auc_5,auc_6,auc_7,auc_8,auc_9,auc_10
1AVB,0.9465393657372063,0.9480045401377849,0.9517205382985997,0.9504810896620255,0.9524739157305414,0.9381197449326516,0.9553271288520498,0.9575320221519371,0.9402216232404912,0.944228741774821
2AVB,0.7273061374494671,0.8160707703649097,0.7999262400885119,0.8186957929652287,0.7970173550030194,0.7819502801120448,0.7348089024251495,0.7922038140747938,0.690896204126634,0.768136109433665
CLBBB,0.9723324353606043,0.9693098878021558,0.9754894937917861,0.9708006354133115,0.9687179731193816,0.9677784855540423,0.9701747386606542,0.9733210147225785,0.9726085047207786,0.9703678149980967
CRBBB,0.9234725032186868,0.9376941523704113,0.9260834256183094,0.9360345778922199,0.922645327446652,0.8914938787063903,0.9562552878425602,0.9401802464594445,0.8920338359691063,0.8987603457789222
ILBBB,0.8523869816348925,0.808518358155162,0.8232982075695456,0.8081375966777156,0.7417019378022164,0.7585656649375766,0.8270659503943308,0.829109238022887,0.8464443015975049,0.80298327484957
IRBBB,0.9299568503315575,0.9344864678800396,0.9322392280389845,0.9353017688790521,0.912651982897161,0.9262729451889509,0.9271758198865927,0.9322483722366627,0.9297183451037091,0.928026160022647
ISCAN,0.8891421581831991,0.862510265795625,0.8934839909122321,0.8950994667939421,0.8980511838358207,0.9089770678129725,0.8804918820193387,0.8725632209986212,0.9098920440320758,0.8661020717411413
ISCIN,0.7940270935960593,0.7981580850731096,0.7929543056260518,0.7909848124649249,0.7770346503398391,0.7943008673230192,0.8000960669077759,0.8066521949242378,0.825483575904638,0.818319550102887
ISCLA,0.846450069146852,0.8507595923044704,0.8512985529423327,0.8397086810188386,0.8515495006531049,0.8338373525955579,0.8390075554874715,0.8470742624079665,0.8481945271065614,0.8501750300359532
IVCD,0.7501415547943858,0.6777607153351212,0.7248590603466102,0.7471018790816689,0.7766550006883652,0.75896929363495,0.7624374131133049,0.7744687942843952,0.775869349230005,0.7733662171162171
LAFB,0.9481959003028184,0.9453392958944308,0.9514132891965373,0.9322862799906826,0.9501187980433263,0.9419329060456316,0.949312834847426,0.9394013510365711,0.9527418539711818,0.9425494991847194
LAO/LAE,0.7221335130444799,0.7540634691351633,0.7120456700595815,0.7284633905411997,0.7092489826422069,0.7628225813937362,0.7386785935473763,0.7560194636124508,0.6953344849417646,0.7498117318296991
LNGQT,0.7006645898628703,0.6984338470094859,0.7130563896620096,0.7199118019300743,0.6957733371483634,0.7152564449980531,0.7395879656682324,0.6374768541355209,0.689522533093971,0.7072822201816761
LPFB,0.6757476198469987,0.8089938987725388,0.7383282528477458,0.7633516391280367,0.8222760695187166,0.7488007488007488,0.8411263368983957,0.8247242647058823,0.7875724716379009,0.6949247384029994
LVH,0.9048551140611457,0.9262867970505921,0.9242237242300363,0.9274829689358273,0.913540953254321,0.9215919974988049,0.9029597053017185,0.9048431971436197,0.9195211752069092,0.9030890804597701
NDT,0.7512022120421111,0.7532107776672994,0.7570864807168073,0.7559861381829266,0.7442373803035228,0.7620111786944141,0.7556824574343075,0.7611305092727503,0.73549463137092,0.7600679911188484
RVH,0.8144430792090525,0.8968029549143349,0.894216108155728,0.8787790033146645,0.8905446336724196,0.8530011384367691,0.8781994236033233,0.892609340520204,0.8892414677784154,0.898619300847713
SEHYP,0.7800111152278622,0.7898492660720922,0.8100194724730041,0.760408947758429,0.7938139704520194,0.7208431767648693,0.8056079798073361,0.7661026074472027,0.7687042739396185,0.7713215542793627
