,macro_auc
0,"0    0.829389
Name: macro_auc, dtype: float64"
1,"0    0.843125
Name: macro_auc, dtype: float64"
2,"0    0.842875
Name: macro_auc, dtype: float64"
3,"0    0.842168
Name: macro_auc, dtype: float64"
4,"0    0.839892
Name: macro_auc, dtype: float64"
5,"0    0.832585
Name: macro_auc, dtype: float64"
6,"0    0.848
Name: macro_auc, dtype: float64"
7,"0    0.84487
Name: macro_auc, dtype: float64"
8,"0    0.837194
Name: macro_auc, dtype: float64"
9,"0    0.836007
Name: macro_auc, dtype: float64"
