label,auc_0,auc_1,auc_2
1AVB,0.9532905218436427,0.967849223946785,0.9563680367519851
2AVB,0.8494466682364021,0.8143253417872003,0.857375180696097
CLBBB,0.9760373381511595,0.9833291987099976,0.9759696612415069
CRBBB,0.9604196133899103,0.9620798902570467,0.9629837003857161
ILBBB,0.8653894970648897,0.8872263198552365,0.8644634116742851
IRBBB,0.9353894345091529,0.9425124468731026,0.9448022307869919
ISCAN,0.9117300716154368,0.9333299030957896,0.9372309249384433
ISCIN,0.8939897476694876,0.911324489588982,0.8767238805367935
ISCLA,0.8818918341236579,0.8920458708213678,0.8949650560118707
IVCD,0.8558564523604583,0.859875209195704,0.8400388102785088
LAFB,0.9453904546989654,0.9526620040718587,0.9542635390319115
LAO/LAE,0.8593292419528766,0.8814963683802269,0.8836856493260434
LNGQT,0.8037338013878521,0.803129516828412,0.7984409925231593
LPFB,0.9302726095148375,0.7864594894561598,0.8417071046410352
LVH,0.9458859712300235,0.94965782037682,0.9444125801901223
NDT,0.7720997327619881,0.7768965750185773,0.7706526042327029
RVH,0.8820561637315565,0.9040618058700481,0.8916169332378452
SEHYP,0.7987037037037037,0.8277953059893234,0.7942557751845678
