label,auc_1,auc_2,auc_3,auc_4,auc_5
1AVB,0.9553168272703523,0.9610021648145475,0.949421652976511,0.9576095111233599,0.9561930606706727
2AVB,0.8576723498888065,0.8238743720908798,0.8026776519052523,0.6556130209917858,0.8154642503055036
CLBBB,0.9816175442195265,0.9733224954277586,0.9751141499861637,0.9695423084478236,0.9753480049266807
CRBBB,0.959086198775318,0.9674232989924149,0.9534199910354101,0.9611556590486563,0.951500153537689
ILBBB,0.879750790155362,0.8754468468024259,0.8574497097829102,0.8619530451711983,0.8263909152806148
IRBBB,0.9458864355458784,0.9305738656286779,0.935452620955501,0.9414442146658982,0.9423977924446445
ISCAN,0.9193531565773616,0.9202898760081859,0.9086813922356092,0.9185750562982129,0.920108894670907
ISCIN,0.8777245375529307,0.8748230430837909,0.882504150213159,0.8694787542871066,0.8757646196767493
ISCLA,0.8723974283038517,0.8821379893979389,0.8712699761702412,0.8822447105192918,0.880488041037889
IVCD,0.8385298496646771,0.8132062873761606,0.8028989153308123,0.8331653831092547,0.8232803316086115
LAFB,0.9533675313629597,0.9414336077985993,0.9426969526091963,0.9531238963057145,0.9502346875961833
LAO/LAE,0.8288070039901755,0.7897202159055606,0.7970736022938973,0.8113578499926902,0.823429914480094
LNGQT,0.7808436691368646,0.7630769579615277,0.7698771529888552,0.7580053908355795,0.7632604325600292
LPFB,0.8474730132417658,0.8423345233026561,0.8516381619616732,0.8127193888085897,0.7726593315341499
LVH,0.940209816477565,0.9407459492912494,0.9357680015040423,0.940664531713266,0.940988431655222
NDT,0.7635588809110379,0.7607695592355632,0.7631128786507272,0.7706982614670898,0.7724641363327495
RVH,0.897868248797326,0.915342562003846,0.9028821272419023,0.8875421701527326,0.895748224880848
SEHYP,0.8366150239900376,0.8315217391304348,0.7778676342017834,0.811197260734024,0.8125155986199809
