label,auc_1,auc_2,auc_3,auc_4,auc_5,auc_6,auc_7,auc_8,auc_9,auc_10
1AVB,0.9421725984900813,0.9456235211723136,0.9427714031606368,0.9433913791640917,0.9451588080609784,0.9383485225511099,0.9432296021618739,0.9449615855358031,0.9391752203072957,0.9439980429224077
2AVB,0.7996600514516722,0.7947382970880944,0.8254010695187166,0.7962559403471,0.7339949764136494,0.7503676470588235,0.7474378834422943,0.7140144056152142,0.6532349801368544,0.6472112094240379
CLBBB,0.9763330502767122,0.9746159720386525,0.9744912203364926,0.9755973470762203,0.969036411818102,0.9689481468464908,0.9722034127843987,0.973089351296442,0.9708418722096173,0.9689128795642881
CRBBB,0.9437925326466803,0.946895406751522,0.9423846437799926,0.9422843479860217,0.9538546442519952,0.931519354610431,0.9591465881920176,0.9571160566488872,0.9472747333578522,0.8940371528416406
ILBBB,0.8381314136188788,0.8633061853400836,0.8352203145345151,0.8680896864403551,0.8197397773999444,0.8429266875300685,0.8393316379014746,0.8481496219657779,0.878413446658572,0.8657815721882574
IRBBB,0.9297472141441697,0.936464115141345,0.9302423328888632,0.9391331248766848,0.9288558264901478,0.9388948771162127,0.9377696854277651,0.9415683360355492,0.9428536138831973,0.9384307632258453
ISCAN,0.8481041857472282,0.8190426608028899,0.8435624233640031,0.8298505854491733,0.827015723015122,0.8354485042773963,0.8338099837845261,0.8070965651574463,0.8293294288120292,0.8107395454962792
ISCIN,0.7844832457753943,0.7745855813589804,0.7992510594018061,0.8085301763110306,0.7565775628234708,0.7787964916393186,0.7660858483506889,0.7988786673006174,0.7986695513510511,0.7814399903348507
ISCLA,0.824263017850656,0.8486194352728069,0.8412173668172966,0.8410921472088456,0.8269074516944352,0.8439200336530872,0.8277564750265701,0.8496665607288522,0.8443066301630759,0.8369036497420255
IVCD,0.7499402209186414,0.7415237211214697,0.7714970830348136,0.7354493575430849,0.779449866829804,0.7452762240600845,0.7649134574874981,0.7742948915022612,0.7293188027819175,0.7608277139527139
LAFB,0.938057884928954,0.9170521770824572,0.9462760747239697,0.9377148846960166,0.9368436990449569,0.9196680482457673,0.939187048683904,0.9353785231772652,0.9350250709742629,0.9218425343582577
LAO/LAE,0.7402128528953447,0.7505549653271633,0.7595779959328872,0.7686970969170969,0.759311256484982,0.7753135925505491,0.730481319621351,0.81114307371023,0.7629906616017726,0.7635859470468989
LNGQT,0.7155094366827802,0.7007559629367458,0.7100053896109342,0.6990679154040865,0.7150320343079675,0.7211014052498185,0.7228641299811039,0.659141667868228,0.7060527418281636,0.6978209686354564
LPFB,0.6393198877670928,0.6628530654458867,0.7005695491737526,0.7311446317657498,0.7782336229946525,0.7989520132377275,0.6603108288770052,0.7920120320855615,0.7438388665185209,0.7345419954115606
LVH,0.9030842568746713,0.9020439854853544,0.9133260466205656,0.8973111284927618,0.9013127892688411,0.9046789471159332,0.9009356922821677,0.9046246898681791,0.9044519364298826,0.903969651864715
NDT,0.7496044304413816,0.7585969121295207,0.7481649394488353,0.7533177933910463,0.7522895467160037,0.7558251981837049,0.756517832587444,0.7612995141541197,0.7479710295431945,0.7625702676632462
RVH,0.815128871871071,0.861804055508656,0.8548968735327289,0.8517521050024766,0.8226725911532747,0.8420788141204267,0.8746879861085989,0.8883056590577483,0.8254445146387217,0.8976570319188701
SEHYP,0.7370988097443498,0.7497590347454478,0.8030624889360948,0.732672980733605,0.7602005372360133,0.7568556605521586,0.6914916404223788,0.7412004446091145,0.7562366873495092,0.7162780196369025
