,macro_auc
0,"0    0.826369
Name: macro_auc, dtype: float64"
1,"0    0.830491
Name: macro_auc, dtype: float64"
2,"0    0.841218
Name: macro_auc, dtype: float64"
3,"0    0.836186
Name: macro_auc, dtype: float64"
4,"0    0.831472
Name: macro_auc, dtype: float64"
5,"0    0.836051
Name: macro_auc, dtype: float64"
6,"0    0.826009
Name: macro_auc, dtype: float64"
7,"0    0.838997
Name: macro_auc, dtype: float64"
8,"0    0.828635
Name: macro_auc, dtype: float64"
9,"0    0.824808
Name: macro_auc, dtype: float64"
