,label,auc,samples
1AVB,1AVB,0.6970535285645703,80
2AVB,2AVB,0.2321924144310823,1
3AVB,3AVB,0.6291068949560388,2
ALMI,ALMI,0.6890734576479334,29
AMI,AMI,0.631954887218045,35
ANEUR,ANEUR,0.7928936367858801,10
ASMI,ASMI,0.7532191955529366,236
CLBBB,CLBBB,0.9771789333192842,54
CRBBB,CRBBB,0.8589378852536748,54
DIG,DIG,0.5928256928256928,18
EL,EL,0.7813886309708037,9
ILBBB,ILBBB,0.9080046403712296,8
ILMI,ILMI,0.7309988179669031,48
IMI,IMI,0.6628913480092938,268
INJAL,INJAL,0.5873828358705045,14
INJAS,INJAS,0.5447114772196511,22
INJIL,INJIL,0.5830633965756594,2
INJIN,INJIN,0.47107820453493754,2
INJLA,INJLA,0.8269319759370661,2
IPLMI,IPLMI,0.676923076923077,5
IPMI,IPMI,0.6462962962962963,3
IRBBB,IRBBB,0.5760430452044298,112
ISCAL,ISCAL,0.6059088741492176,66
ISCAN,ISCAN,0.5145900880037054,4
ISCAS,ISCAS,0.4374486047914039,17
ISCIL,ISCIL,0.533022533022533,18
ISCIN,ISCIN,0.5369304912742558,22
ISCLA,ISCLA,0.798710363624277,14
ISC_,ISC_,0.7502648955773956,128
IVCD,IVCD,0.6146772273378848,79
LAFB,LAFB,0.7861134969325153,163
LAO/LAE,LAO/LAE,0.695179722053838,42
LMI,LMI,0.6733084461035932,20
LNGQT,LNGQT,0.49662047989185537,11
LPFB,LPFB,0.6827505827505828,18
LVH,LVH,0.7512479440690888,214
NDT,NDT,0.5877863332781367,183
NORM,NORM,0.7299971622271673,964
NST_,NST_,0.63061722553573,77
PMI,PMI,0.8609440074039797,2
RAO/RAE,RAO/RAE,0.7252670692057595,10
RVH,RVH,0.6790252595691926,12
SEHYP,SEHYP,0.8041666666666667,3
WPW,WPW,0.6549883990719257,8
