,label,auc,samples
1AVB,1AVB,0.7045307249159865,80
2AVB,2AVB,0.18131359851988904,1
3AVB,3AVB,0.4951411383618695,2
ALMI,ALMI,0.7909058591603918,29
AMI,AMI,0.6114930182599356,35
ANEUR,ANEUR,0.8212726428239666,10
ASMI,ASMI,0.8067493161408354,236
CLBBB,CLBBB,0.9828600530354916,54
CRBBB,CRBBB,0.8683683683683684,54
DIG,DIG,0.646930846930847,18
EL,EL,0.5125348189415042,9
ILBBB,ILBBB,0.8422853828306265,8
ILMI,ILMI,0.8258077226162333,48
IMI,IMI,0.6485960697830111,268
INJAL,INJAL,0.6617695938310177,14
INJAS,INJAS,0.6040507834062248,22
INJIL,INJIL,0.475011568718186,2
INJIN,INJIN,0.25937066173068024,2
INJLA,INJLA,0.3456732993984266,2
IPLMI,IPLMI,0.6679332715477293,5
IPMI,IPMI,0.5729938271604937,3
IRBBB,IRBBB,0.5960115274778854,112
ISCAL,ISCAL,0.602122801693617,66
ISCAN,ISCAN,0.5686660490968041,4
ISCAS,ISCAS,0.5032070610163917,17
ISCIL,ISCIL,0.5559440559440559,18
ISCIN,ISCIN,0.6177869304912742,22
ISCLA,ISCLA,0.7282789337233265,14
ISC_,ISC_,0.8404407248157248,128
IVCD,IVCD,0.6087854418231735,79
LAFB,LAFB,0.8412546012269938,163
LAO/LAE,LAO/LAE,0.6525223950966526,42
LMI,LMI,0.6997200186654223,20
LNGQT,LNGQT,0.6942379182156134,11
LPFB,LPFB,0.6013727013727015,18
LVH,LVH,0.8384697640294807,214
NDT,NDT,0.6329000386377435,183
NORM,NORM,0.7560017165064941,964
NST_,NST_,0.6338546400866631,77
PMI,PMI,0.7857473391948171,2
RAO/RAE,RAO/RAE,0.769019972131909,10
RVH,RVH,0.6813110181311017,12
SEHYP,SEHYP,0.8893518518518518,3
WPW,WPW,0.24251740139211136,8
