,label,auc,samples
1AVB,1AVB,0.6906865098415745,80
2AVB,2AVB,0.37280296022201664,1
3AVB,3AVB,0.5013882461823229,2
ALMI,ALMI,0.7698025401544776,29
AMI,AMI,0.5982545649838883,35
ANEUR,ANEUR,0.8529029261495588,10
ASMI,ASMI,0.7874187504947533,236
CLBBB,CLBBB,0.9741495881846759,54
CRBBB,CRBBB,0.7993432028519747,54
DIG,DIG,0.6138047138047138,18
EL,EL,0.6198803260084598,9
ILBBB,ILBBB,0.9093387470997679,8
ILMI,ILMI,0.8044326241134752,48
IMI,IMI,0.6321348403103217,268
INJAL,INJAL,0.649039420328392,14
INJAS,INJAS,0.6397605197231541,22
INJIL,INJIL,0.6853308653401203,2
INJIN,INJIN,0.23692734844979174,2
INJLA,INJLA,0.3669597408607126,2
IPLMI,IPLMI,0.7774791473586655,5
IPMI,IPMI,0.46975308641975305,3
IRBBB,IRBBB,0.5429929651041304,112
ISCAL,ISCAL,0.6165734599210995,66
ISCAN,ISCAN,0.5729504400185271,4
ISCAS,ISCAS,0.5286716737020996,17
ISCIL,ISCIL,0.5434084434084435,18
ISCIN,ISCIN,0.5205299138040846,22
ISCLA,ISCLA,0.7348933058565446,14
ISC_,ISC_,0.8279023341523342,128
IVCD,IVCD,0.6060035472193201,79
LAFB,LAFB,0.8620920245398773,163
LAO/LAE,LAO/LAE,0.6849531891964707,42
LMI,LMI,0.7267382174521698,20
LNGQT,LNGQT,0.6587529570800946,11
LPFB,LPFB,0.6777259777259778,18
LVH,LVH,0.835180274571671,214
NDT,NDT,0.5885908262957442,183
NORM,NORM,0.7457416104014756,964
NST_,NST_,0.6985718021192614,77
PMI,PMI,0.7255900046274874,2
RAO/RAE,RAO/RAE,0.8041802136553646,10
RVH,RVH,0.6484968231830157,12
SEHYP,SEHYP,0.9643518518518519,3
WPW,WPW,0.353538283062645,8
