,label,auc,samples
1AVB,1AVB,0.9599675447101915,240
2AVB,2AVB,0.5827806321033785,5
3AVB,3AVB,0.9858010275572162,5
ALMI,ALMI,0.9823117931650797,87
AMI,AMI,0.9159464105579199,106
ANEUR,ANEUR,0.9382523057683289,31
ASMI,ASMI,0.9776896777657902,710
CLBBB,CLBBB,0.9983632025471583,162
CRBBB,CRBBB,0.9979426064561616,163
DIG,DIG,0.9598775116503387,54
EL,EL,0.9120219860373033,30
ILBBB,ILBBB,0.9132134646496183,22
ILMI,ILMI,0.9651462709526841,144
IMI,IMI,0.9488787182223682,806
INJAL,INJAL,0.9636965282524492,44
INJAS,INJAS,0.9756181498522426,63
INJIL,INJIL,0.982718355908454,5
INJIN,INJIN,0.9871088276506306,5
INJLA,INJLA,0.9669002023976335,5
IPLMI,IPLMI,0.9219190186600135,15
IPMI,IPMI,0.9794795886569024,10
IRBBB,IRBBB,0.9801641717556971,335
ISCAL,ISCAL,0.9501856445676671,198
ISCAN,ISCAN,0.8776785178967564,13
ISCAS,ISCAS,0.9415638922967651,51
ISCIL,ISCIL,0.9492382247324199,54
ISCIN,ISCIN,0.9277409429091291,66
ISCLA,ISCLA,0.9015815847165675,42
ISC_,ISC_,0.9653102168894302,383
IVCD,IVCD,0.8725882882938142,237
LAFB,LAFB,0.9879443340508914,488
LAO/LAE,LAO/LAE,0.870966967809582,129
LMI,LMI,0.9334039991624791,60
LNGQT,LNGQT,0.8436435301070784,36
LPFB,LPFB,0.9802234773210613,54
LVH,LVH,0.9556691028657216,641
NDT,NDT,0.9154378013682736,549
NORM,NORM,0.9578979475777324,2862
NST_,NST_,0.8895831455941187,231
PMI,PMI,0.8491643309457075,6
RAO/RAE,RAO/RAE,0.9533343753256226,30
RVH,RVH,0.9872751800462644,37
SEHYP,SEHYP,0.9494902286614392,9
WPW,WPW,0.9425359150530918,24
