,macro_auc
0,"0    0.836609
Name: macro_auc, dtype: float64"
1,"0    0.850113
Name: macro_auc, dtype: float64"
2,"0    0.856043
Name: macro_auc, dtype: float64"
3,"0    0.844177
Name: macro_auc, dtype: float64"
4,"0    0.846537
Name: macro_auc, dtype: float64"
5,"0    0.84454
Name: macro_auc, dtype: float64"
6,"0    0.842558
Name: macro_auc, dtype: float64"
7,"0    0.83994
Name: macro_auc, dtype: float64"
8,"0    0.845178
Name: macro_auc, dtype: float64"
9,"0    0.834963
Name: macro_auc, dtype: float64"
